                                  data for 10000 random trees
          maximum tree height           number of leaves          calls on hit    calls on miss
        ----------------------  -------------------------------  --------------  --------------
     n  min max    mean    std    min   max       mean      std     mean    std     mean    std
------  --- --- ------- ------  ----- ----- ---------- --------  ------- ------  ------- ------
    10    4   9  5.6374 0.9057      2     5     3.6647   0.7011   3.4436 0.3907   5.0397 0.3552
    13    4  11  6.3981 1.0098      2     7     4.6603   0.7868   3.8475 0.4288   5.5013 0.3982
    16    5  12  7.0429 1.0947      3     8     5.6540   0.8702   4.1833 0.4600   5.8784 0.4330
    20    5  13  7.7245 1.1475      4    10     7.0107   0.9601   4.5486 0.4804   6.2844 0.4575
    25    6  15  8.4402 1.2347      5    12     8.6965   1.0685   4.9356 0.5069   6.7073 0.4874
    32    6  16  9.2576 1.2963      6    15    11.0322   1.2239   5.3615 0.5254   7.1688 0.5094
    40    7  17 10.0330 1.3717      8    18    13.6495   1.3529   5.7689 0.5471   7.6038 0.5337
    50    7  19 10.7809 1.4384     11    22    17.0155   1.4967   6.1687 0.5565   8.0281 0.5456
    63    8  21 11.6254 1.4811     15    27    21.3115   1.6681   6.6031 0.5633   8.4843 0.5545
    79    9  23 12.4058 1.5357     19    34    26.6477   1.8771   7.0259 0.5841   8.9256 0.5768
   100    9  21 13.2734 1.5888     26    42    33.6745   2.1368   7.4725 0.5914   9.3886 0.5856
   126   10  22 14.1339 1.6300     33    51    42.3108   2.3611   7.9197 0.5990   9.8494 0.5943
   158   11  24 14.9719 1.6851     43    62    53.0037   2.6731   8.3604 0.6128  10.3015 0.6090
   200   12  25 15.8554 1.6970     55    77    67.0136   2.9651   8.8133 0.6225  10.7645 0.6194
   251   12  28 16.6769 1.7213     72    97    83.9754   3.3536   9.2498 0.6188  11.2091 0.6164
   316   13  27 17.5767 1.7720     92   118   105.6306   3.7426   9.7174 0.6312  11.6836 0.6292
   398   14  28 18.4974 1.8437    117   150   132.9961   4.2284  10.1743 0.6449  12.1463 0.6432
   501   14  29 19.3525 1.8453    150   188   167.2847   4.7580  10.6162 0.6319  12.5930 0.6307
   631   16  29 20.2627 1.8898    190   231   210.7044   5.2475  11.0827 0.6338  13.0635 0.6328
   794   17  31 21.1287 1.8791    242   286   264.9930   5.9982  11.5252 0.6336  13.5095 0.6328
  1000   17  32 22.0189 1.9054    308   362   333.7287   6.6432  11.9856 0.6408  13.9727 0.6402
  1259   18  33 22.9834 1.9553    393   448   419.9870   7.4377  12.4519 0.6509  14.4412 0.6504
  1585   19  34 23.8214 1.9569    496   563   528.4644   8.4496  12.8992 0.6484  14.8904 0.6480
  1995   20  35 24.7403 1.9564    629   705   665.3968   9.4516  13.3440 0.6413  15.3368 0.6410
  2512   21  37 25.6978 1.9754    796   876   837.6022  10.5168  13.8214 0.6317  15.8155 0.6315
  3162   22  36 26.5925 2.0099   1008  1099  1054.2937  11.7561  14.2754 0.6447  16.2705 0.6445
  3981   22  39 27.5182 2.0035   1280  1379  1327.5555  13.3505  14.7333 0.6373  16.7294 0.6372
  5012   23  39 28.4281 2.0416   1613  1727  1671.0591  14.9432  15.1947 0.6462  17.1915 0.6460
  6310   24  41 29.3371 2.0481   2039  2170  2103.5537  16.7077  15.6628 0.6558  17.6601 0.6557
  7943   25  42 30.2917 2.0483   2574  2727  2648.3716  18.8094  16.1251 0.6537  18.1230 0.6536
 10000   26  42 31.2368 2.0786   3248  3408  3333.4283  21.0244  16.5832 0.6468  18.5815 0.6468
------  --- --- ------- ------  ----- ----- ---------- --------  ------- ------  ------- ------
done in 51.0 seconds
